id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
19857,"Glory to Rome",2005,270,7.22596,7.4897,14356,0,,,,,,197,,
3,Samurai,1998,271,7.22586,7.47099,16420,0,,,,,,203,,
332686,"John Company: Second Edition",2022,272,7.22565,8.31248,3668,0,,,,,,140,39,
194655,Santorini,2016,273,7.2216,7.35838,39081,0,17,,,,,,,
228341,"Pulsar 2849",2017,274,7.22114,7.65917,8950,0,,,,,,177,,
9216,"Goa: A New Expedition",2004,275,7.22039,7.55684,11536,0,,,,,,185,,
286096,Tapestry,2019,276,7.21976,7.4497,20605,0,,,,,,219,,
198994,"Hero Realms",2016,277,7.21948,7.51382,18293,0,,,,,,229,,
421,"1830: Railways & Robber Barons",1986,278,7.21916,7.87034,5679,0,,,,,,156,,
223321,"Detective: A Modern Crime Board Game",2018,279,7.21619,7.65316,10684,0,,,,,,,59,
414317,Harmonies,2024,280,7.216,8.10517,4885,0,4,,,37,,,,
232405,"Western Legends",2018,281,7.21597,7.60839,11408,0,,,,,,,58,
20551,Shogun,2006,282,7.21288,7.51389,14130,0,,,,,,207,,
31481,"Galaxy Trucker",2007,283,7.21101,7.34242,34362,0,,,,,,,85,
305096,"Endless Winter: Paleoamericans",2022,284,7.20962,7.72264,8296,0,,,,,,184,,
128621,Viticulture,2013,285,7.20566,7.49216,14094,0,,,,,,213,,
239188,"Chronicles of Crime",2018,286,7.20532,7.58045,22839,0,,,,,,,76,
27708,"1960: The Making of the President",2007,287,7.20476,7.6215,9330,0,,,,,,194,,
311193,"Anno 1800: The Board Game",2020,288,7.20076,7.71978,7398,0,,,,,,180,,
140620,"Lewis & Clark: The Expedition",2013,289,7.19858,7.44765,15715,0,,,,,,215,,
27833,Steam,2009,290,7.19356,7.55098,10261,0,,,,,,198,,
156546,Monikers,2015,291,7.19083,7.78437,6374,0,,,,,4,,,
127060,"Bora Bora",2013,292,7.18958,7.55567,10297,0,,,,,,201,,
204583,Kingdomino,2016,293,7.18943,7.30624,48131,0,,,,69,,,,
284653,"Mind MGMT: The Psychic Espionage “Game.”",2021,294,7.18871,7.91853,5318,0,,,,,,175,,
323612,Bitoku,2021,295,7.18827,7.83905,6213,0,,,,,,186,,
291572,Oath,2021,296,7.18812,7.79464,7584,0,,,,,,211,82,
338960,"Slay the Spire: The Board Game",2024,297,7.18757,8.82737,2754,0,,,,,,147,,
146508,"T.I.M.E Stories",2015,298,7.18635,7.37916,27817,0,,,,,,,83,
760,"Battle Line",2000,299,7.18426,7.41314,17597,0,,,,,,234,,
298047,"Marvel United",2020,300,7.18423,7.57957,10967,0,,,,62,,,,
302723,"Forgotten Waters",2020,301,7.18166,7.81507,6162,0,,,,,,,47,
144344,Rococo,2013,302,7.17932,7.58219,9082,0,,,,,,200,,
2655,Hive,2001,303,7.17827,7.32175,37559,0,20,,,,,,,
